timestamp,actual_q,actual_qd,target_qd_acceleration
1716711050.7296076,"[-2.6200993696795862, -2.910001579915182, -0.0799482504474085, -2.933018986378805, 0.5299611687660217, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.7453806,"[-2.6201112906085413, -2.909977738057272, -0.07999641100038701, -2.93303090730776, 0.5299375653266907, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.7614756,"[-2.620087448750631, -2.910013500844137, -0.0799482504474085, -2.93305474916567, 0.5299851298332214, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.7775362,"[-2.620087448750631, -2.910013500844137, -0.07998449007143194, -2.93300706544985, 0.5299491882324219, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.7933466,"[-2.620063368474142, -2.910025421773092, -0.07997256914247686, -2.933042828236715, 0.5299375653266907, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.809081,"[-2.6201112906085413, -2.910013500844137, -0.07998449007143194, -2.93305474916567, 0.5299731492996216, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.824824,"[-2.6200993696795862, -2.910001579915182, -0.07997256914247686, -2.93305474916567, 0.5299851298332214, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.8405836,"[-2.6201234499560755, -2.909977738057272, -0.07998449007143194, -2.93305474916567, 0.5299731492996216, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.8563697,"[-2.620063368474142, -2.910025421773092, -0.07998449007143194, -2.933042828236715, 0.5299971103668213, 1.1699857711791992]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.8722744,"[-2.620087448750631, -2.910013500844137, -0.0799482504474085, -2.93300706544985, 0.5299611687660217, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.88822,"[-2.6200993696795862, -2.910001579915182, -0.07997256914247686, -2.933042828236715, 0.5299851298332214, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.904035,"[-2.620087448750631, -2.909989658986227, -0.07993632951845342, -2.93303090730776, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.919218,"[-2.6201112906085413, -2.910001579915182, -0.07997256914247686, -2.93305474916567, 0.5299375653266907, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.9345324,"[-2.620087448750631, -2.910025421773092, -0.07997256914247686, -2.93303090730776, 0.5299731492996216, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.9505162,"[-2.620075527821676, -2.910001579915182, -0.07993632951845342, -2.933042828236715, 0.5299971103668213, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
